"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
499.917;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""MANUEL CAMPOS CHAVEZ""";Municipalidad de Palena
4.314.798;1;Acompañamientos preparados;"""Distribuidora Ecomark Coronel Ltda.""";Municipalidad de Santa Bárbara
94.855;1;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de San Pedro de la Paz
1.327.138;2;Empanadas, tartas y pies;"""Pan Recoleta""";Municipalidad de Recoleta
1.080.000;1;Aceites vegetales y grasas comestibles;"""jackeline nicole""";Municipalidad de General Lagos
1.439.744;1;Empanadas, tartas y pies;"""Ximena del Pilar """;Municipalidad de Paredones
1.146.973;2;Empanadas, tartas y pies;"""La Posada""";Municipalidad de Santa Bárbara
721.786;1;Acompañamientos preparados;"""CABANAS REST EVENTOS LA VALENCIANA - PUYEHUE""";Municipalidad de Río Bueno
1.524.048;6;Bebidas y comidas infantiles;"""Mónica Pinochet""";Municipalidad de Puente Alto
456.890;2;Aceites vegetales y grasas comestibles;"""Pablo Agustin""";Municipalidad de Molina
